time,x,y,heading,distance,segment
2.46,7.611856563247791,4.969063422373021,0.38,5.306197026481131,3
2.48,7.624629089292861,5.010687915317816,0.38,5.349737639126267,3
2.5,7.636685789795039,5.052525332229582,0.38,5.393278251771402,3
2.52,7.648045722582546,5.094557245238605,0.38,5.436818864416538,3
2.54,7.65868630864665,5.1367769786387045,0.38,5.480359477061674,3
2.56,7.668582977881488,5.179177266464271,0.38,5.523900089706809,3
2.58,7.6777546199457785,5.221740289829876,0.38,5.567440702351945,3
2.6,7.686142042380868,5.264464763765011,0.3900732386525345,5.610981314997081,3
2.62,7.69378847831866,5.307328027156095,0.4117265692555019,5.654521927642216,3
2.64,7.700635232094383,5.350326240533703,0.4333798998584684,5.698062540287352,3
2.66,7.706715595823095,5.3934395009718274,0.4550332304614355,5.741603152932488,3
2.68,7.71198803741978,5.4366589544247885,0.47668656106440205,5.785143765577623,3
2.7,7.716471985854675,5.479967340227284,0.4983398916673689,5.828684378222759,3
2.72,7.720140957858725,5.523352312848723,0.5199932222703362,5.8722249908678945,3
2.74,7.723005878047876,5.5667978321989535,0.5416465528733031,5.91576560351303,3
2.7600000000000002,7.725051029786827,5.6102895920992255,0.5632998834762699,5.959306216158166,3
2.7800000000000002,7.726282613556458,5.653812040915965,0.5849532140792372,6.0028468288033014,3
2.8000000000000003,7.7266929623164335,5.697349920065521,0.606606544682204,6.046387441448436,3
2.82,7.7262855772893815,5.740887884070119,0.6282598752851701,6.089928054093571,3
2.84,7.725059815389262,5.784410441911464,0.6499132058881375,6.133468666738707,3
2.86,7.723016650881297,5.827902350904346,0.6715665364911042,6.177009279383842,3
2.88,7.720163179835465,5.871348573280597,0.6932198670940712,6.220549892028978,3
2.9,7.716496159091883,5.914733761421916,0.7148731976970376,6.2640905046741135,3
2.92,7.712032848841311,5.958044238395237,0.736526528300005,6.307631117319249,3
2.94,7.706762312901589,6.001263963821588,0.758179858902972,6.351171729964385,3
2.96,7.700716001048375,6.044381991793459,0.7798331895059393,6.394712342609521,3
2.98,7.693870182804938,6.0873803722513244,0.8014865201089059,6.438252955254656,3
3.0,7.686275944166264,6.130252932199696,0.8231398507118729,6.481793567899793,3
3.02,7.677890262584898,6.1729777601020865,0.8447931813148395,6.525334180544927,3
3.04,7.66877725934431,6.215553366700257,0.8664465119178067,6.568874793190064,3
3.06,7.65890670460711,6.257959743443868,0.8880998425207737,6.612415405835199,3
3.08,7.648316927699644,6.3001922652858235,0.9097531731237403,6.655956018480335,3
3.1,7.63701532072717,6.342239912452712,0.931406503726708,6.69949663112547,3
3.12,7.624998134154102,6.3840886969579085,0.9530598343296746,6.743037243770606,3
3.14,7.6123098748274325,6.425738952674771,0.9747131649326415,6.786577856415741,3
3.16,7.598930149634259,6.467172269295729,0.9963664955356086,6.830118469060877,3
3.18,7.584893741429577,6.508387737839696,1.0180198261385753,6.873659081706013,3
3.2,7.570224505110332,6.549382316603993,1.0396731567415423,6.917199694351148,3
3.200301887284179,7.57,6.55,1.04,6.917856912216295,3
